"case","pass","detail"
"data.table first known-rejection",TRUE,"When i is a data.table (or character vector), the columns to join by must be specified using the 'on=' argument (see ?data.table); by keying x (i.e., x is sorted and marked as such, see ?setkey); or by using 'on = .NATURAL' to indicate using the shared column names between x and i (i.e., a natural join). Keyed joins might have further speed benefits on very large data due to x being sorted in RAM."
"data.table first source-preserved",TRUE,""
"data.frame first control",TRUE,""
"data.frame first source-preserved",TRUE,""
"dtplyr first control",TRUE,""
"dtplyr first source-preserved",TRUE,""
"data.table last known-rejection",TRUE,"When i is a data.table (or character vector), the columns to join by must be specified using the 'on=' argument (see ?data.table); by keying x (i.e., x is sorted and marked as such, see ?setkey); or by using 'on = .NATURAL' to indicate using the shared column names between x and i (i.e., a natural join). Keyed joins might have further speed benefits on very large data due to x being sorted in RAM."
"data.table last source-preserved",TRUE,""
"data.frame last control",TRUE,""
"data.frame last source-preserved",TRUE,""
"dtplyr last control",TRUE,""
"dtplyr last source-preserved",TRUE,""
"data.table none",TRUE,""
"data.table none source-preserved",TRUE,""
"data.frame none control",TRUE,""
"data.frame none source-preserved",TRUE,""
"dtplyr none control",TRUE,""
"dtplyr none source-preserved",TRUE,""
"data.frame first fixed-id-missing-values",TRUE,""
"data.frame first fixed-id-margin-order",TRUE,""
"dtplyr first fixed-id-missing-values",TRUE,""
"dtplyr first fixed-id-margin-order",TRUE,""
"rich first source-preserved",TRUE,""
"data.frame last fixed-id-missing-values",TRUE,""
"data.frame last fixed-id-margin-order",TRUE,""
"dtplyr last fixed-id-missing-values",TRUE,""
"dtplyr last fixed-id-margin-order",TRUE,""
"rich last source-preserved",TRUE,""
